Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/EditApp/EditAppValid,Chrome 62.0.3202.94,,2018-06-18 17:51:15,2018-06-18 17:51:21,5.600s,PASSED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:51:15,2018-06-18 17:51:19,3.660s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:51:19,2018-06-18 17:51:19,0.133s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:51:19,2018-06-18 17:51:19,0.276s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:51:19,2018-06-18 17:51:19,0.132s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:51:19,2018-06-18 17:51:19,0.148s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:51:19,2018-06-18 17:51:20,0.132s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:51:20,2018-06-18 17:51:20,0.115s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:51:20,2018-06-18 17:51:20,0.205s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:51:20,2018-06-18 17:51:20,0.375s,PASSED
verifyTextPresent,Chrome 62.0.3202.94,,2018-06-18 17:51:20,2018-06-18 17:51:20,0.101s,PASSED
appmanage.startTest.closebrowser,Chrome 62.0.3202.94,,2018-06-18 17:51:20,2018-06-18 17:51:21,0.196s,PASSED
,,,,,,
Test Cases/EditApp/EditAppValid,Chrome 62.0.3202.94,,2018-06-18 17:51:21,2018-06-18 17:51:25,4.286s,PASSED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:51:21,2018-06-18 17:51:23,2.492s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:51:23,2018-06-18 17:51:23,0.134s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:51:23,2018-06-18 17:51:23,0.292s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:51:23,2018-06-18 17:51:24,0.136s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:51:24,2018-06-18 17:51:24,0.170s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:51:24,2018-06-18 17:51:24,0.126s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:51:24,2018-06-18 17:51:24,0.149s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:51:24,2018-06-18 17:51:24,0.136s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:51:24,2018-06-18 17:51:25,0.353s,PASSED
verifyTextPresent,Chrome 62.0.3202.94,,2018-06-18 17:51:25,2018-06-18 17:51:25,0.092s,PASSED
appmanage.startTest.closebrowser,Chrome 62.0.3202.94,,2018-06-18 17:51:25,2018-06-18 17:51:25,0.185s,PASSED
,,,,,,
Test Cases/EditApp/EditAppValid,Chrome 62.0.3202.94,,2018-06-18 17:51:25,2018-06-18 17:51:30,5.342s,PASSED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:51:25,2018-06-18 17:51:28,3.270s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:51:28,2018-06-18 17:51:28,0.144s,PASSED
